,,,,,,,,,,
Date Time,Type,uSv/h,CPM,,,,,,,
2026-03-28 08:33:00,Every Second,0.169,26,,,,,,,
2026-03-28 08:34:00,Every Second,0.162,25,,,,,,,
2026-03-28 08:35:00,Every Second,0.162,25,,,,,,,
2026-03-28 08:36:00,Every Second,0.13,20,,,,,,,
2026-03-28 08:37:00,Every Second,0.143,22,,,,,,,
2026-03-28 08:38:00,Every Second,0.162,25,,,,,,,
2026-03-28 08:39:00,Every Second,0.221,34,,,,,,,
2026-03-28 08:40:00,Every Second,0.143,22,,,,,,,
2026-03-28 08:41:00,Every Second,0.137,21,,,,,,,
2026-03-28 08:42:00,Every Second,0.137,21,,,,,,,
2026-03-28 08:43:00,Every Second,0.149,23,,,,,,,
2026-03-28 08:44:00,Every Second,0.13,20,,,,,,,
2026-03-28 08:45:00,Every Second,0.169,26,,,,,,,
2026-03-28 08:46:00,Every Second,0.182,28,,,,,,,
2026-03-28 08:47:00,Every Second,0.189,29,,,,,,,
2026-03-28 08:48:00,Every Second,0.137,21,,,,,,,
2026-03-28 08:49:00,Every Second,0.189,29,,,,,,,
2026-03-28 08:50:00,Every Second,0.182,28,,,,,,,
2026-03-28 08:51:00,Every Second,0.143,22,,,,,,,
2026-03-28 08:52:00,Every Second,0.123,19,,,,,,,
2026-03-28 08:53:00,Every Second,0.149,23,,,,,,,
2026-03-28 08:54:00,Every Second,0.123,19,,,,,,,
2026-03-28 08:55:00,Every Second,0.162,25,,,,,,,
2026-03-28 08:56:00,Every Second,0.176,27,,,,,,,
2026-03-28 08:57:00,Every Second,0.117,18,,,,,,,
2026-03-28 08:58:00,Every Second,0.169,26,,,,,,,
2026-03-28 08:59:00,Every Second,0.182,28,,,,,,,
2026-03-28 09:00:00,Every Second,0.201,31,,,,,,,
2026-03-28 09:01:00,Every Second,0.149,23,,,,,,,
2026-03-28 09:02:00,Every Second,0.111,17,,,,,,,
2026-03-28 09:03:00,Every Second,0.182,28,,,,,,,
2026-03-28 09:04:00,Every Second,0.182,28,,,,,,,
2026-03-28 09:05:00,Every Second,0.201,31,,,,,,,
2026-03-28 09:06:00,Every Second,0.169,26,,,,,,,
2026-03-28 09:07:00,Every Second,0.176,27,,,,,,,
2026-03-28 09:08:00,Every Second,0.176,27,,,,,,,
2026-03-28 09:09:00,Every Second,0.162,25,,,,,,,
2026-03-28 09:10:00,Every Second,0.123,19,,,,,,,
2026-03-28 09:11:00,Every Second,0.214,33,,,,,,,
2026-03-28 09:12:00,Every Second,0.156,24,,,,,,,
2026-03-28 09:13:00,Every Second,0.13,20,,,,,,,
2026-03-28 09:14:00,Every Second,0.149,23,,,,,,,
2026-03-28 09:15:00,Every Second,0.169,26,,,,,,,
2026-03-28 09:16:00,Every Second,0.137,21,,,,,,,
2026-03-28 09:17:00,Every Second,0.149,23,,,,,,,
2026-03-28 09:18:00,Every Second,0.156,24,,,,,,,
2026-03-28 09:19:00,Every Second,0.266,41,,,,,,,
2026-03-28 09:20:00,Every Second,0.169,26,,,,,,,
2026-03-28 09:21:00,Every Second,0.221,34,,,,,,,
2026-03-28 09:22:00,Every Second,0.104,16,,,,,,,
2026-03-28 09:23:00,Every Second,0.176,27,,,,,,,
2026-03-28 09:24:00,Every Second,0.189,29,,,,,,,
2026-03-28 09:25:00,Every Second,0.149,23,,,,,,,
2026-03-28 09:26:00,Every Second,0.156,24,,,,,,,
2026-03-28 09:27:00,Every Second,0.182,28,,,,,,,
2026-03-28 09:28:00,Every Second,0.195,30,,,,,,,
2026-03-28 09:29:00,Every Second,0.182,28,,,,,,,
2026-03-28 09:30:00,Every Second,0.162,25,,,,,,,
