EWO,,parameterization of elapsed time vs altitude,,,,,,,,,,,,,,,max altitude ,,(burst),82496.995512,ft,,,,,,,,,,,,,,,,,
,,using,KA7NSR-15_20260328,,,,Balloon 2,,,,elapse t,altitude ,vert speed,,acceler,,max descent speed,,,-63.563466446281105,mph,after ,5.416666666666667, min ,after burst,,impact speed,,-15.1,mph,,,,,,,,
time,lat,lng,speed,course,altitude (m),,hour,minute,second,total sec,(sec),(ft),(ft/s),(mph),(ft/s2),Gs,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:38:54,32.87533,-112.0495,,,418.8,,16,38,54,59934,0,1373.99904,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:45:59,32.87517,-112.05,11,,445.62,,16,45,59,60359,425,1461.990096,1.6498044814004376,1.1248666918639347,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:46:31,32.87517,-112.0535,37,,648.61,,16,46,31,60391,457,2127.959688,20.292000369230763,13.835454797202795,0.2960358449015317,0.009198045133242771,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:47:04,32.87533,-112.0565,31,,847.65,,16,47,4,60424,490,2780.9701199999995,20.892134399999996,14.244637090909087,0.03695018333051562,0.0011480685863184095,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:47:36,32.87617,-112.05883,27,,1062.53,,16,47,36,60456,522,3485.9484239999997,22.69376228571428,15.473019740259737,0.050005896209912463,0.0015537189100192261,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:47:53,32.87667,-112.06017,29,,1186.59,,16,47,53,60473,539,3892.964471999999,23.342423314285707,15.915288623376618,0.02272647463556926,0.0007061277984326336,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:48:11,32.87717,-112.06167,30,,1311.55,,16,48,11,60491,557,4302.933239999999,23.489188897959203,16.015356066790368,0.013421954072328225,0.0004170296991388014,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:48:42,32.879,-112.06483,42,,1537.41,,16,48,42,60522,588,5043.934728,24.00009906382979,16.363703907156676,-0.013036107363986317,-0.00040504116633453065,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:48:58,32.87983,-112.066,32,,1655.37,,16,48,58,60538,604,5430.9378959999995,22.876491851851846,15.597608080808076,-0.027105952910876755,-0.0008422013163194066,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:50:03,32.88,-112.06883,15,,2102.21,,16,50,3,60603,669,6896.930568,21.804516878048773,14.866716053215072,-0.020902350607451763,-0.0006494509620689891,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:50:20,32.8795,-112.06867,12,,2200.35,,16,50,20,60620,686,7218.908279999999,21.1624991020408,14.428976660482363,0.0069021411810123185,0.0002144544560814311,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:50:52,32.878,-112.06833,19,,2418.28,,16,50,52,60652,718,7933.893023999999,22.142721795918376,15.097310315398893,0.024522875468555437,0.0007619432553233281,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:51:09,32.87733,-112.0675,23,,2531.06,,16,51,9,60669,735,8303.901648,22.364120000000018,15.24826363636365,-0.01822835745207202,-0.0005663680849351536,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:51:25,32.877,-112.06667,19,,2643.23,,16,51,25,60685,751,8671.908984,21.541186,14.687172272727272,-0.025452238095238666,-0.0007908192158956863,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:51:57,32.8765,-112.06483,20,,2846.22,,16,51,57,60717,783,9337.878576,21.14241257142856,14.415281298701291,0.0025513951762530605,7.927367036150468e-05,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:52:14,32.87633,-112.06383,20,,2959,,16,52,14,60734,800,9707.8872,21.6662043636364,14.772412066115727,0.021019844155844358,0.0006531015705327696,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:52:30,32.87633,-112.06267,24,,3064.15,,16,52,30,60750,816,10052.86332,21.836067428571425,14.88822779220779,0.018060072545529427,0.0005611393526978897,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 16:53:03,32.87633,-112.06,27,,3285.13,,16,53,3,60783,849,10777.854503999999,22.55114791836734,15.375782671614097,0.0002666610124578898,8.285348109380903e-06,,,,,,,,,,,,,,,,,,,,,,
