,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,elapsed,altitude,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,ppm,oC,%
date,time,PM2.5,PM1.0,PM5.0,PM0.5,PM10,PM.3,CO2,temp,humidity,,time,hour,minute,second,total s,time (s),(ft),PM.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10,CO2,temp,humidity
2026-03-28, 08:38:39,012, 019, 015,009, 017,010,0401, 024,30,, 08:38:39,8,38,39,31119,,,10,9,19,12,15,17,401,24,30
2026-03-28, 08:38:44,012, 014, 015,010, 017,009,0419, 024,30,, 08:38:44,8,38,44,31124,,,9,10,14,12,15,17,419,24,30
2026-03-28, 08:38:49,011, 015, 012,008, 015,008,0445, 024,30,, 08:38:49,8,38,49,31129,,,8,8,15,11,12,15,445,24,30
2026-03-28, 08:38:54,012, 018, 013,009, 017,009,0402, 024,30,, 08:38:54,8,38,54,31134,,,9,9,18,12,13,17,402,24,30
2026-03-28, 08:38:59,011, 018, 012,008, 015,009,0433, 024,30,, 08:38:59,8,38,59,31139,,,9,8,18,11,12,15,433,24,30
2026-03-28, 08:39:04,012, 015, 013,009, 017,010,0435, 024,30,, 08:39:04,8,39,4,31144,,,10,9,15,12,13,17,435,24,30
2026-03-28, 08:39:09,011, 018, 012,009, 015,009,0432, 024,30,, 08:39:09,8,39,9,31149,,,9,9,18,11,12,15,432,24,30
2026-03-28, 08:39:14,014, 020, 016,012, 020,011,0438, 024,30,, 08:39:14,8,39,14,31154,,,11,12,20,14,16,20,438,24,30
2026-03-28, 08:39:19,013, 014, 014,011, 018,011,0415, 024,30,, 08:39:19,8,39,19,31159,,,11,11,14,13,14,18,415,24,30
2026-03-28, 08:39:24,015, 020, 016,013, 021,012,0435, 024,30,, 08:39:24,8,39,24,31164,,,12,13,20,15,16,21,435,24,30
2026-03-28, 08:39:29,014, 021, 018,011, 020,011,0436, 024,30,, 08:39:29,8,39,29,31169,,,11,11,21,14,18,20,436,24,30
2026-03-28, 08:39:34,015, 021, 018,013, 021,012,0417, 024,30,, 08:39:34,8,39,34,31174,,,12,13,21,15,18,21,417,24,30
2026-03-28, 08:39:39,015, 022, 016,012, 021,012,0446, 024,30,, 08:39:39,8,39,39,31179,,,12,12,22,15,16,21,446,24,30
