# Sounding-balloon reference data (public manufacturer datasheets).
# Sources: Kaymont Consolidated Industries, Totex, Hwoyee published technical
# specifications. Burst diameters are nominal; nominal_burst_km assumes a
# typical ~1 kg payload and standard free lift. Use balloon.py for exact values.
model,manufacturer,mass_kg,burst_diameter_m,nominal_burst_km,recommended_free_lift_kg
Kaymont-200,Kaymont,0.200,3.00,22.0,0.5
Kaymont-300,Kaymont,0.300,3.78,24.0,0.6
Kaymont-350,Kaymont,0.350,4.12,25.0,0.7
Kaymont-500,Kaymont,0.500,5.00,28.0,0.9
Kaymont-600,Kaymont,0.600,6.02,30.0,1.0
Kaymont-800,Kaymont,0.800,7.00,32.5,1.1
Kaymont-1000,Kaymont,1.000,7.86,33.0,1.2
Kaymont-1200,Kaymont,1.200,8.63,34.0,1.2
Kaymont-1500,Kaymont,1.500,9.44,35.0,1.4
Kaymont-2000,Kaymont,2.000,10.54,37.0,1.6
Kaymont-3000,Kaymont,3.000,13.00,38.0,2.0
Totex-1200,Totex,1.200,8.63,34.0,1.2
Totex-1500,Totex,1.500,9.44,35.0,1.4
Totex-2000,Totex,2.000,10.54,37.0,1.6
