,truncated data set,,,,,,,,,,,,,,,,,,,,,,,,,,Time stamp,,,,,,,,,,,,
,elapsed(ms),UV_value1A,UV_value1B,UV_value1C,UV_value2A,UV_value2B,UV_value2C,UV_value3A,UV_value3B,UV_value3C, UV_value4A,UV_value4B,UV_value4C, pressure_bmp390(Pa), temp_bmp390, alt_bmp390(m), gyro_X(deg/s), gyro_Y, gyro_Z, accel_X(m/s^2), accel_Y, accel_Z, mag_X(uT), mag_Y, mag_Z,,hour,minute,second,total sec,elapsed t,altitude,UVA,UVB,UVC,press,temp,accel,
,,,,,,,,,,,,,,,,,,,,,,,,,,launch time,16,38,54,59934,,,mW/cm^2,mW/cm^2,mW/cm^2,(Torr),(oC),m/s^2,Gs
,16:45:55291216,1248.44,23.62,42.8,3240.62,23.62,32.42,4518.28,44.3,32.42,948.28,14.77,7.78,96894,26.91,375.6,-2.07,-1.58,3.06,-2.4,-0.8,-22.01,31.5,11.25,33,,16,45,55,60355,421,1596.7801,2488.905,26.577499999999997,28.855,726.7647668393782,26.91,22.15491141936704,2.258400756306528
,16:45:56291716,1482.19,82.69,22.05,3333.59,82.69,20.75,929.69,11.81,6.48,1197.97,17.72,7.78,96889,26.92,376.05,1.88,0.67,1.46,0.1,-0.91,-7.37,31.5,11.25,37.5,,16,45,56,60356,422,1616.5663999999997,1735.8600000000004,48.7275,14.265,726.727263755243,26.92,7.426641232751182,0.7570480359583264
,16:45:56292216,2759.84,38.39,22.05,308.13,2.95,3.89,621.56,8.86,6.48,5509.06,85.64,36.31,96877,26.93,377.01,0,-1.48,1.21,0.85,-1.3,-4.28,-1.19,10.38,41.25,,16,45,56,60356,422,1616.5663999999997,2299.6475,33.96,17.1825,726.6372563533185,26.93,4.5531198095371925,0.4641304596877872
,16:45:57292716,2714.69,41.34,20.75,804.84,8.86,6.48,1115.63,14.77,9.08,5655.16,79.73,36.31,96863,26.93,378.3,-0.28,-2.75,0.77,-0.34,-0.23,-14.96,-14.5,3,44.25,,16,45,57,60357,423,1636.3588999999993,2572.58,36.175,18.155,726.5322477177399,26.93,14.965630624868437,1.525548483676701
,16:45:57293216,2720,47.25,16.86,996.09,11.81,6.48,1089.06,14.77,9.08,4597.97,59.06,29.83,96852,26.92,379.24,-0.33,-3.34,0.65,-0.35,0.42,-22.51,42.38,6.38,18.69,,16,45,57,60357,423,1636.3588999999993,2350.7799999999997,33.2225,15.5625,726.4497409326425,26.92,22.516638292604874,2.2952740359434123
,16:45:58293716,988.13,17.72,7.78,1009.38,11.81,5.19,1041.25,14.77,7.78,1147.5,14.77,7.78,96829,26.91,381.17,-0.64,-0.45,-0.04,-0.14,-0.2,-5.71,41,1.5,18.69,,16,45,58,60358,424,1656.1575999999986,1046.565,14.767499999999998,7.1325,726.2772267456205,26.91,5.715216531331075,0.5825908798502625
,16:45:58294216,945.63,14.77,7.78,759.69,8.86,5.19,324.06,5.91,5.19,881.88,11.81,6.48,96797,26.91,383.94,0.06,1.28,-0.81,0.09,-0.5,-7.64,43.19,13.69,-17.25,,16,45,58,60358,424,1656.1575999999986,727.815,10.3375,6.16,726.0372070071552,26.91,7.656872729776825,0.7805170978365774
,16:45:59294716,1168.75,70.87,27.23,650.78,5.91,5.19,223.13,5.91,5.19,935,14.77,6.48,96769,26.92,386.38,-1.52,0.71,-1.73,-1.02,-1.44,-14.47,27.56,33.5,16.5,,16,45,59,60359,425,1675.9624999999996,744.415,24.365,11.0225,725.827189735998,26.92,14.577204807506822,1.4859535991342325
,16:45:59295216,2720,41.34,38.91,993.44,11.81,5.19,579.06,8.86,5.19,1017.34,14.77,7.78,96745,26.93,388.49,-0.07,0.04,-2.47,-3.25,-2.98,-9.25,27.56,21.25,38.69,,16,45,59,60359,425,1675.9624999999996,1327.46,19.195,14.267499999999998,725.647174932149,26.93,10.247214255591615,1.0445682217728456
,16:46:00295716,1253.75,17.72,18.16,1630.94,38.39,9.08,950.94,11.81,6.48,1054.53,14.77,9.08,96726,26.93,390.08,-0.17,-0.54,-2.17,2.73,-7.32,-12.13,-8.19,21.25,35,,16,46,0,60360,426,1695.7735999999995,1222.54,20.6725,10.7,725.5046632124353,26.93,14.42817382761935,1.4707618580651731
,16:46:00296216,1038.59,14.77,7.78,5344.37,56.11,32.42,3014.84,35.44,23.34,1296.25,62.02,33.72,96698,26.92,392.48,0.55,1.39,-2.8,-0.29,-0.71,-7.63,26.37,-26,33.25,,16,46,0,60360,426,1695.7735999999995,2673.5125,42.085,24.315,725.2946459412781,26.92,7.668448343700308,0.7816970788685329
,16:46:01296716,1139.53,17.72,7.78,3230,23.62,31.12,4066.72,29.53,31.12,1758.44,47.25,38.91,96670,26.93,394.9,-2.49,0.04,-2.97,0.31,-3.17,-14.1,16.06,1.69,43.19,,16,46,1,60361,427,1715.5908999999992,2548.6725,29.53,27.232499999999998,725.0846286701209,26.93,14.455275853473015,1.4735245518321116
,16:46:01297216,2552.66,79.73,12.97,1787.66,14.77,20.75,4566.09,35.44,31.12,4069.37,47.25,27.23,96645,26.94,397.09,0.59,-1.62,-2.28,-0.53,-0.63,-10.05,38.06,11.5,24.75,,16,46,1,60361,427,1715.5908999999992,3243.9449999999997,44.2975,23.017500000000002,724.8971132494448,26.94,10.083665008319148,1.027896534996855
,16:46:02297716,1609.69,50.2,35.02,969.53,11.81,5.19,1001.41,14.77,7.78,727.81,11.81,6.48,96621,26.93,399.14,-1.91,0.76,-2.48,-0.27,-2.04,-13.35,38.06,44.5,15.25,,16,46,2,60362,428,1735.4143999999987,1077.1100000000001,22.1475,13.6175,724.7170984455959,26.93,13.507664490947352,1.3769280826653774
,16:46:02298216,1753.13,20.67,37.61,1054.53,14.77,6.48,834.06,11.81,6.48,1089.06,17.72,7.78,96595,26.92,401.4,-0.58,-1.16,-1.8,0.6,-1.25,-10.26,-1.25,44.5,41.06,,16,46,2,60362,428,1735.4143999999987,1182.695,16.2425,14.587500000000002,724.5220824080927,26.92,10.353265185437877,1.055378714111914
,16:46:03298716,1511.41,20.67,38.91,5676.41,70.87,31.12,1208.59,17.72,7.78,1049.22,14.77,7.78,96565,26.89,403.99,0.93,0.72,-1.48,-0.09,-0.66,-8.84,1.37,0.69,44.5,,16,46,3,60363,429,1755.2441,2361.4075,31.0075,21.3975,724.2970639032815,26.89,8.865060631490346,0.9036759053506979
,16:46:03299216,958.91,17.72,7.78,5742.81,76.78,31.12,1070.47,14.77,7.78,823.44,11.81,6.48,96534,26.85,406.7,-0.35,0.38,-0.83,-0.01,-0.42,-7.19,1.37,4.06,40.5,,16,46,3,60363,429,1755.2441,2148.9075000000003,30.27,13.29,724.0645447816432,26.85,7.202263533084582,0.7341756914459309
,16:46:04299716,948.28,14.77,7.78,3099.84,35.44,36.31,2690.78,67.92,12.97,897.81,14.77,7.78,96499,26.82,409.74,-0.08,-0.72,0.12,-0.34,-1.08,-11.73,-20.69,4.06,42.06,,16,46,4,60364,430,1775.079999999999,1909.1774999999998,33.225,16.21,723.8020231926968,26.82,11.784519506539077,1.2012761984239628
,16:46:04300216,956.25,14.77,7.78,1237.81,20.67,42.8,4260.62,79.73,29.83,985.47,14.77,7.78,96465,26.8,412.68,1.11,0.45,0.35,-1.22,-0.39,-10.15,-11.38,-5.88,44.19,,16,46,4,60364,430,1775.079999999999,1860.0375000000001,32.485,22.0475,723.5470022205774,26.8,10.230493634228996,1.0428637751507641
,16:46:05300716,980.16,17.72,7.78,3434.53,32.48,35.02,4329.69,47.25,28.53,982.81,14.77,7.78,96432,26.78,415.5,-0.63,-0.94,0.73,-0.89,0.19,-6.29,-4.75,-7.69,44.56,,16,46,5,60365,431,1794.9220999999989,2431.7975,28.054999999999996,19.777500000000003,723.299481865285,26.78,6.355493686567551,0.6478586836460296
,16:46:05301216,1089.06,17.72,24.64,5219.53,56.11,32.42,3150.31,44.3,19.45,1043.91,14.77,7.78,96398,26.75,418.45,0.53,0.37,0.17,-0.39,-2.97,-12.07,1.06,-2.88,44.25,,16,46,5,60365,431,1794.9220999999989,2625.7025,33.225,21.0725,723.0444608931656,26.75,12.436152942128045,1.267701625089505
,16:46:06301716,1009.38,14.77,9.08,5774.69,73.83,31.12,2507.5,32.48,15.56,1033.28,14.77,7.78,96362,26.72,421.56,-0.07,1.26,-0.08,-1.54,-1.89,-14.87,1.06,-8.38,39.75,,16,46,6,60366,432,1814.7703999999994,2581.2125,33.9625,15.885000000000002,722.774438687392,26.72,15.068530120751658,1.5360377289247358
,16:46:06302216,958.91,14.77,7.78,5485.16,64.97,32.42,2961.72,44.3,16.86,988.13,14.77,7.78,96327,26.67,424.66,-0.12,-0.01,0.94,-1.51,-0.98,-9.36,-17.69,0.37,25.5,,16,46,6,60366,432,1814.7703999999994,2598.4799999999996,34.7025,16.21,722.5119170984456,26.67,9.531531881077667,0.9716138512821271
,16:46:07302716,985.47,14.77,7.78,1859.38,26.58,40.2,3370.78,73.83,20.75,964.22,14.77,7.78,96291,26.63,427.79,-0.74,-0.18,1.27,1.09,-1.05,-11.83,-38.25,12.56,31.69,,16,46,7,60367,433,1834.6248999999998,1794.9625000000003,32.4875,19.1275,722.2418948926721,26.63,11.926420250854823,1.215741106101409
,16:46:07303216,1413.13,20.67,41.5,4311.09,47.25,36.31,1275,20.67,7.78,1062.5,14.77,7.78,96253,26.61,431.05,-0.26,-0.36,1.07,-0.82,-0.39,-7.65,-31.87,19.19,37.88,,16,46,7,60367,433,1834.6248999999998,2015.43,25.84,23.3425,721.9568714532445,26.61,7.703700409543456,0.7852905616252248
,16:46:08303716,3933.91,44.3,36.31,5671.09,85.64,32.42,1128.91,14.77,7.78,1110.31,17.72,7.78,96217,26.56,434.2,0.34,-0.84,0.77,0.66,-1.82,-10.49,2,24.75,37.5,,16,46,8,60368,434,1854.485599999999,2961.055,40.6075,21.0725,721.6868492474711,26.56,10.667150509859699,1.0873751793944646
,16:46:08304216,4218.12,53.16,37.61,3394.69,53.16,16.86,1027.97,14.77,6.48,1078.44,14.77,7.78,96179,26.52,437.53,0.47,-0.25,-0.1,-0.18,-1.37,-11.12,8.69,33.19,29.25,,16,46,8,60368,434,1854.485599999999,2429.805,33.964999999999996,17.1825,721.4018258080434,26.52,11.205520960669343,1.142254939925519
